V,dark,10dbm,12dbm,14dbm,16dbm,18dbm,20dbm
-7.9,-1.2743E-10,-1.59383E-05,-1.07479E-05,-7.35764E-06,-5.32007E-06,-3.75349E-06,-2.9462E-06
-8,-1.3136E-10,-1.59578E-05,-1.07521E-05,-7.37234E-06,-5.31835E-06,-3.75502E-06,-2.94978E-06
-8.1,-1.3557E-10,-1.59123E-05,-1.07126E-05,-7.38752E-06,-5.33005E-06,-3.75313E-06,-2.94693E-06
-8.2,-1.3144E-10,-1.58948E-05,-1.07378E-05,-7.37673E-06,-5.33645E-06,-3.74841E-06,-2.94978E-06
-8.3,-1.3454E-10,-1.59086E-05,-1.07336E-05,-7.39191E-06,-5.34947E-06,-3.74815E-06,-2.95048E-06
-8.4,-1.3982E-10,-1.59318E-05,-1.07481E-05,-7.40515E-06,-5.35647E-06,-3.75469E-06,-2.95212E-06
-8.5,-1.3626E-10,-1.59467E-05,-1.07698E-05,-7.39398E-06,-5.35475E-06,-3.76701E-06,-2.95551E-06
-8.6,-1.4059E-10,-1.59529E-05,-1.07818E-05,-7.40214E-06,-5.35624E-06,-3.76382E-06,-2.94943E-06
-8.7,-1.4508E-10,-1.59233E-05,-1.07699E-05,-7.42018E-06,-5.35854E-06,-3.76769E-06,-2.94831E-06
-8.8,-1.4367E-10,-1.59467E-05,-1.07811E-05,-7.40313E-06,-5.36491E-06,-3.7758E-06,-2.95297E-06
-8.9,-1.5065E-10,-1.59557E-05,-1.08187E-05,-7.41958E-06,-5.36554E-06,-3.77435E-06,-2.95535E-06
-9,-1.4892E-10,-1.59394E-05,-1.0811E-05,-7.41609E-06,-5.36465E-06,-3.78038E-06,-2.96082E-06
-9.1,-1.4992E-10,-1.59681E-05,-1.08052E-05,-7.42214E-06,-5.36728E-06,-3.77308E-06,-2.96255E-06
-9.2,-1.5775E-10,-1.59849E-05,-1.07782E-05,-7.42296E-06,-5.37027E-06,-3.77643E-06,-2.96042E-06
-9.3,-1.5211E-10,-1.60116E-05,-1.08134E-05,-7.42792E-06,-5.37062E-06,-3.78354E-06,-2.96404E-06
-9.4,-1.5641E-10,-1.60169E-05,-1.08169E-05,-7.42906E-06,-5.38089E-06,-3.78551E-06,-2.96092E-06
-9.5,-1.6341E-10,-1.60482E-05,-1.07967E-05,-7.41386E-06,-0.000005386,-3.78999E-06,-2.96466E-06
-9.6,-1.5745E-10,-1.59833E-05,-1.0837E-05,-7.44592E-06,-5.37695E-06,-3.79021E-06,-2.97213E-06
-9.7,-1.6103E-10,-0.000016032,-1.08482E-05,-7.44333E-06,-5.37784E-06,-3.78278E-06,-2.96889E-06
-9.8,-1.6702E-10,-1.60297E-05,-1.08275E-05,-7.44607E-06,-5.38091E-06,-3.79095E-06,-2.97024E-06
-9.9,-1.6563E-10,-1.60265E-05,-1.08562E-05,-7.45511E-06,-5.38769E-06,-3.78854E-06,-2.97013E-06
-10,-1.699E-10,-1.60175E-05,-1.08497E-05,-7.45729E-06,-5.39493E-06,-3.79433E-06,-2.97123E-06
-10.1,-1.7285E-10,-1.60099E-05,-1.08736E-05,-7.45397E-06,-5.40531E-06,-3.79215E-06,-2.97217E-06
-10.2,-1.7517E-10,-1.59771E-05,-1.08671E-05,-7.44343E-06,-5.40708E-06,-3.79769E-06,-2.97803E-06
-10.3,-1.7731E-10,-1.59921E-05,-1.08638E-05,-7.45886E-06,-5.40047E-06,-3.79208E-06,-2.97628E-06
-10.4,-1.8376E-10,-1.60262E-05,-1.08725E-05,-7.46217E-06,-5.40505E-06,-3.80334E-06,-2.97734E-06
-10.5,-1.8463E-10,-1.60177E-05,-1.08952E-05,-7.45318E-06,-5.40961E-06,-3.79859E-06,-2.97747E-06
-10.6,-1.8492E-10,-1.60095E-05,-0.00001089,-7.46407E-06,-5.41385E-06,-3.8037E-06,-2.97526E-06
-10.7,-1.9186E-10,-0.000015992,-1.08916E-05,-7.4658E-06,-5.41664E-06,-3.80606E-06,-2.98701E-06
-10.8,-1.923E-10,-1.60193E-05,-1.08984E-05,-7.47019E-06,-5.41326E-06,-3.8059E-06,-2.98559E-06
-10.9,-1.9404E-10,-1.60764E-05,-1.09078E-05,-7.44253E-06,-5.42433E-06,-3.81968E-06,-2.98265E-06
-11,-2.0115E-10,-1.60216E-05,-1.09135E-05,-7.43915E-06,-5.42411E-06,-3.81478E-06,-2.98422E-06
-11.1,-1.9969E-10,-1.60296E-05,-1.08941E-05,-0.000007451,-5.42526E-06,-3.8184E-06,-2.98056E-06
-11.2,-2.037E-10,-1.60222E-05,-1.09022E-05,-7.44864E-06,-5.43089E-06,-3.81808E-06,-0.000002979
-11.3,-2.1083E-10,-1.60351E-05,-1.09219E-05,-7.47169E-06,-5.43288E-06,-3.80902E-06,-2.98491E-06
-11.4,-2.0932E-10,-1.60389E-05,-1.08749E-05,-7.47106E-06,-5.41544E-06,-3.81521E-06,-2.98667E-06
-11.5,-2.1559E-10,-1.60067E-05,-1.08995E-05,-7.47261E-06,-5.42684E-06,-3.80799E-06,-2.98579E-06
-11.6,-2.2217E-10,-1.60489E-05,-1.09348E-05,-7.48482E-06,-5.42133E-06,-3.81611E-06,-2.99158E-06
-11.7,-2.2113E-10,-1.60401E-05,-1.09299E-05,-7.49376E-06,-5.43323E-06,-3.81725E-06,-2.98703E-06
-11.8,-2.2739E-10,-1.60532E-05,-1.09277E-05,-7.48204E-06,-5.45083E-06,-3.8258E-06,-3.0023E-06
-11.9,-2.3381E-10,-1.60363E-05,-1.09206E-05,-7.48526E-06,-5.42866E-06,-3.82582E-06,-2.99478E-06
-12,-2.3218E-10,-1.60597E-05,-1.09383E-05,-7.48303E-06,-5.44705E-06,-3.8342E-06,-2.99327E-06
-12.1,-2.4459E-10,-1.60789E-05,-1.09371E-05,-7.49676E-06,-5.45371E-06,-3.82804E-06,-2.99272E-06
-12.2,-2.485E-10,-1.60363E-05,-1.09473E-05,-7.49805E-06,-5.45419E-06,-3.83176E-06,-2.98858E-06
